ident,site,code,type_eng,Li,Mg,Al,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Cd,Sn,Sb,Ba,Pb,Bi,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204
1,Prosmyky,PRO_5-01,torc,0.00062,0.0201,0.02441,0.05859,0.0071,0.0055,0.7704,0.02836,0.35972,84.91374,0.03385,0.20832,0.0312,0.00252,12.81936,0.10234,0.00922,0.5637,0.01019,0.841334163667168,2.07921,18.60748,15.65503,38.6888690150437
2,Prosmyky,PRO_5-02,brooch_D,0.00302,0.07136,0.0164,0.04424,0.01339,0.00474,0.26549,0.01291,0.12047,89.05076,0.00016,0.19959,0.04265,0.00433,7.06499,0.16592,0.00296,2.86887,0.01372,0.8422,2.081019,18.595807,15.661396,38.6982267234682
3,Prosmyky,PRO_5-03,brooch_D,0.00121,0.00097,0.03493,0.02067,0.0103,0.00619,0.48579,0.02437,0.18173,87.17839,0.29458,0.24312,0.05332,0.0036,9.65966,0.21527,0.00421,1.53717,0.01256,0.840115,2.076939,18.656062,15.673101,38.7474938038986
4,Prosmyky,PRO_5-04,brooch_D,0.00196,0.13895,0.06579,0.01593,0.01315,0.00519,0.24135,0.01689,0.20614,84.77486,0.07037,0.2497,0.06638,0.00456,11.78988,0.19447,0.00435,2.09736,0.02257,0.841346202643289,2.07873,18.61726,15.66354,38.7002750205486
5,Prosmyky,PRO_5-05,brooch_D,0.00102,0.0188,0.05268,0.02291,0.01514,0.00571,0.57097,0.02312,0.09482,86.90756,0.02684,0.2597,0.05556,0.00148,8.46966,0.13325,0.00307,3.28605,0.01283,0.83939079119973,2.0751,18.65969,15.66277,38.7206424146037
6,Prosmyky,PRO_5-06,bracelet,0.00125,0.07225,0,0.02704,0.00546,0.00219,0.32134,0.01491,0.08489,85.45919,0.06775,0.32438,0.03867,0.00298,11.96095,0.18972,0.00555,1.37153,0.00787,0.838757,2.073153,18.664552,15.654849,38.6944696756808
7,Prosmyky,PRO_5-07,bracelet,0.00586,0,0.01031,0.03754,0.00845,0.00313,0.49994,0.02216,0.07742,85.8567,0.02943,0.23556,0.03841,0.00431,8.89156,0.07934,0.00697,4.14165,0.01384,0.836001,2.068214,18.744279,15.670655,38.7671795125845
8,Prosmyky,PRO_5-08,bracelet,0.00027,0,0.00398,0.02634,0.00746,0.00414,0.84562,0.02123,0.17829,86.75323,0.44604,0.34694,0.03214,0.00218,7.59196,0.2323,0.00164,3.46353,0.01335,0.843744,2.081447,18.554925,15.655619,38.6211015413936
9,Prosmyky,PRO_5-09,bracelet,0.00162,0.03962,0.08161,0.00964,0.00847,0.00299,0.14545,0.02073,0.23845,82.49389,0.0293,0.58711,0.04135,0.00323,10.84489,0.69757,0.00262,4.71891,0.0128,0.837606569993086,2.07312,18.70727,15.66949,38.7825029666638
10,Prosmyky,PRO_5-10,bracelet,0.0009,0,0.02377,0.0194,0.0083,0.00506,0.21932,0.02066,0.2318,84.97229,0.01212,0.52284,0.05567,0.00229,9.01097,0.64721,0.02668,4.18303,0.01262,0.841300305035913,2.077621,18.612297,15.658531,38.6693071181813
11,Prosmyky,PRO_119-01,torc,0.00342,0,0.35921,0,0.00419,0.00154,0.52021,0.01457,0.08173,84.84882,0.03165,0.25034,0.04106,0.003,13.01542,0.11511,0.00333,0.70804,0.00878,0.841195808926824,2.079031,18.619647,15.663379,38.7108308068805
12,Prosmyky,PRO_119-02,brooch_D,0.00248,0.02474,0.02354,0.00299,0.00503,0.00082,0.59875,0.00315,0.02012,85.57269,0.02068,0.06488,0.00516,0.00148,13.58264,0.03061,0.0019,0.04953,0.00027,0.852789559752405,2.094805,18.320654,15.623781,38.3781902395946
13,Prosmyky,PRO_119-03,brooch_D,0.00269,0.00551,0.00985,0.00348,0.00749,0.00269,0.63489,0.00241,0.02159,84.76463,0.00629,0.08507,0.00679,0.00348,14.42522,0.02209,0.00264,0.01321,0.00086,0.851772798315499,2.092968,18.338215,15.620199,38.3813064386098
14,Prosmyky,PRO_119-04,brooch_D,0.00122,0,0,0.00609,0.00331,0.00077,0.45399,0.00285,0.04635,92.71173,0.04992,0.14362,0.02486,0.00306,5.78614,0.04837,0.00088,0.72159,0.00251,0.851483439537686,2.086876,18.348502,15.623638,38.2910504281424
15,Prosmyky,PRO_119-05,brooch_D,0.00164,0,0.00233,0.00493,0.0042,0.00298,1.0668,0.00126,0.02307,86.65408,0.00217,0.08131,0.00569,0.00406,12.12382,0.02349,0.00203,0.02649,0.00226,0.847616,2.086252,18.444885,15.634346,38.4806809148191
16,Prosmyky,PRO_119-06,bracelet,0.00292,0.02612,0.02939,0.00778,0.00859,0.0012,0.52583,0.03065,0.0559,87.68538,0.02241,0.16866,0.03854,0.00509,10.9122,0.06647,0.00488,0.40455,0.00218,0.848495,2.093696,18.431166,15.638514,38.5892550747138
17,Prosmyky,PRO_119-07,bracelet,0.00383,0,0.05041,0.00692,0.00478,0.00032,0.60391,0.00286,0.03518,87.19592,0.13937,0.11788,0.03682,0.00095,11.36293,0.0748,0.00418,0.36968,0.00096,0.84099700010643,2.078569,18.631291,15.66886,38.7264286070333
18,Prosmyky,PRO_119-08,bracelet,0.00513,0.01648,0.00032,0,0.00605,0.00087,0.21163,0.01686,0.1533,91.98297,0,0.24673,0.03615,0.00248,5.25661,0.20055,0.00626,1.84988,0.02038,0.841067942521339,2.078717,18.626778,15.666386,38.7197966379622
