id,site,type_eng,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204
1,Prosmyky,torc,0.8413341636672,2.07921,18.60748,15.65503,38.6888690150437
2,Prosmyky,brooch_D,0.8422,2.081019,18.595807,15.661396,38.6982267234682
3,Prosmyky,brooch_D,0.840115,2.076939,18.656062,15.673101,38.7474938038986
4,Prosmyky,brooch_D,0.8413462026433,2.07873,18.61726,15.66354,38.7002750205486
5,Prosmyky,brooch_D,0.8393907911997,2.0751,18.65969,15.66277,38.7206424146037
6,Prosmyky,bracelet,0.838757,2.073153,18.664552,15.654849,38.6944696756808
7,Prosmyky,bracelet,0.836001,2.068214,18.744279,15.670655,38.7671795125845
8,Prosmyky,bracelet,0.843744,2.081447,18.554925,15.655619,38.6211015413936
9,Prosmyky,bracelet,0.8376065699931,2.07312,18.70727,15.66949,38.7825029666638
10,Prosmyky,bracelet,0.8413003050359,2.077621,18.612297,15.658531,38.6693071181813
11,Prosmyky,torc,0.8411958089268,2.079031,18.619647,15.663379,38.7108308068805
12,Prosmyky,brooch_D,0.8527895597524,2.094805,18.320654,15.623781,38.3781902395946
13,Prosmyky,brooch_D,0.8517727983155,2.092968,18.338215,15.620199,38.3813064386098
14,Prosmyky,brooch_D,0.8514834395377,2.086876,18.348502,15.623638,38.2910504281424
15,Prosmyky,brooch_D,0.847616,2.086252,18.444885,15.634346,38.4806809148191
16,Prosmyky,bracelet,0.848495,2.093696,18.431166,15.638514,38.5892550747138
17,Prosmyky,bracelet,0.8409970001064,2.078569,18.631291,15.66886,38.7264286070333
18,Prosmyky,bracelet,0.8410679425213,2.078717,18.626778,15.666386,38.7197966379622
19,Prosmyky,bracelet,0.8380040403351,2.075269,18.707391,15.67699,38.8228646124595
20,Prosmyky,bracelet,0.8323250968552,2.060434,18.831191,15.674073,38.8004253089006
21,Prosmyky,bracelet,0.8432769698913,2.081436,18.576025,15.664366,38.6648072384646
22,Prosmyky,bracelet,0.8402591221058,2.070394,18.519717,15.561367,38.3431065875667
23,Prosmyky,brooch_D,0.8472168767919,2.088946,18.492429,15.667098,38.6296803307707
24,Prosmyky,brooch_M,0.8559323296091,2.103269,18.251497,15.622158,38.387805105669
25,Prosmyky,bracelet,0.8358740806925,2.068301,18.752007,15.674791,38.7847987935974
26,Prosmyky,anklet,0.841464,2.079678,18.614252,15.663186,38.7116523615667
27,Prosmyky,anklet,0.841583679231,2.079882,18.622384,15.672388,38.7323614537441
28,Prosmyky,bracelet,0.8424075718122,2.080787,18.601696,15.670263,38.7061749505318
29,Prosmyky,bracelet,0.8501262303076,2.092972,18.426579,15.664779,38.5663101545069
30,Prosmyky,anklet,0.850157,2.093153,18.425729,15.664668,38.567866261537
