ident.,site,type_eng,Li,Mg,Al,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Sn,Sb,Pb,Bi
1,Duchcov,brooch_D,0.000000,0.000000,0.004071,0.000000,0.068780,0.008892,0.098269,91.359086,0.062192,0.175165,0.019606,7.034108,0.090102,1.051428,0.019541
2,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.000000,0.298547,0.000462,0.016124,86.928899,0.020458,0.150140,0.010056,12.467494,0.031536,0.016297,0.023579
3,Duchcov,brooch_D,0.044869,0.088947,0.000000,0.003167,0.000000,0.027097,0.822690,86.096037,0.288746,0.180005,0.048564,10.930517,0.206161,1.193520,0.029033
4,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.000000,0.000000,0.018001,0.484762,88.474332,0.000000,0.261897,0.015109,10.469303,0.149097,0.106326,0.006436
5,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.000000,0.052161,0.002291,0.032449,88.046208,0.000000,0.161940,0.007885,11.414414,0.035261,0.226433,0.000000
6,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.000000,0.000000,0.001881,0.030267,88.789068,0.270804,0.114512,0.012351,10.628192,0.028552,0.116495,0.000000
7,Duchcov,brooch_D,0.000000,0.034121,0.005778,0.000439,0.040375,0.007095,0.045093,86.894531,0.071096,0.114982,0.004608,12.706883,0.027236,0.035767,0.000000
8,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.000000,0.000000,0.012494,0.126635,86.418421,0.000000,0.267974,0.029407,12.646834,0.152673,0.329686,0.011804
9,Duchcov,brooch_D,0.000000,0.000060,0.000000,0.000000,0.003836,0.010829,0.100761,91.278221,0.026014,0.149733,0.019421,6.644252,0.089022,1.641306,0.028412
10,Duchcov,brooch_D,0.453341,0.307053,0.024767,0.026574,1.219487,0.003217,0.022674,84.785009,2.109379,0.165260,0.010709,10.729756,0.062809,0.034374,0.000000
11,Duchcov,brooch_D,0.003115,0.000000,0.000000,0.000000,0.000000,0.023105,0.049650,82.788384,0.000000,0.205997,0.042446,14.986267,0.114167,1.770254,0.000000
12,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.000432,0.066042,0.001799,0.014568,83.869192,0.030431,0.082445,0.011223,15.436276,0.042491,0.435101,0.000000
13,Duchcov,brooch_D,0.020479,0.006193,0.036554,0.000000,0.034848,0.007652,0.074402,90.983429,0.153263,0.164989,0.024773,6.854547,0.118929,1.502077,0.005946
14,Duchcov,brooch_D,0.288829,0.067588,0.043050,0.002812,0.270351,0.001071,0.041677,84.178273,1.091244,0.088577,0.005825,13.778911,0.026435,0.030731,0.000000
