id,type_eng,Li,Mg,Al,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Sn,Sb,Pb,Bi,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204
1,brooch_Dux,0.000,0.000,0.000,0,0.000,89,0.098,91.4,0.06,0.18,0.020,7.03,0.090,1.051,195,0.842,2.080,18.606,15.663,38.702
2,brooch_Dux,0.000,0.000,0.000,0,0.299,0.000,0.016,86.9,0.02,0.15,0.010,12.47,0.032,0.016,236,0.854,2.099,18.304,15.626,38.414
3,brooch_Dux,449,0.089,0.000,0,0.000,271,0.823,86.1,0.29,0.18,0.049,10.93,0.206,1.194,290,0.844,2.082,18.565,15.663,38.661
4,brooch_Dux,0.000,0.000,0.000,0,0.000,180,0.485,88.5,0.00,0.26,0.015,10.47,0.149,0.106,64,0.851,2.094,18.391,15.657,38.512
5,brooch_Dux,0.000,0.000,0.000,0,0.000,0.000,0.032,88.0,0.00,0.16,0.008,11.41,0.035,0.226,0,0.853,2.094,18.300,15.617,38.329
6,brooch_Dux,0.000,0.000,0.000,0,0.000,0.000,0.030,88.8,0.27,0.11,0.012,10.63,0.029,0.116,0,0.849,2.089,18.425,15.636,38.484
7,brooch_Dux,0.000,0.034,0.000,0,0.000,71,0.045,86.9,0.07,0.11,0.005,12.71,0.027,0.036,0,0.856,2.095,18.237,15.613,38.200
8,brooch_Dux,0.000,0.000,0.000,0,0.000,125,0.127,86.4,0.00,0.27,0.029,12.65,0.153,0.330,118,0.849,2.091,18.448,15.657,38.571
9,brooch_Dux,0.000,0.000,0.000,0,0.000,108,0.101,91.3,0.03,0.15,0.019,6.64,0.089,1.641,284,0.841,2.080,18.621,15.668,38.740
10,brooch_Dux,4533,0.307,0.025,248,1.219,0.000,0.023,84.8,2.11,0.17,0.011,10.73,0.063,0.034,0,0.855,2.102,18.260,15.619,38.374
11,brooch_Dux,30,0.000,0.000,0,0.000,231,0.050,82.8,0.00,0.21,0.042,14.99,0.114,1.770,0,0.838,2.073,18.690,15.668,38.735
12,brooch_Dux,0.000,0.000,0.000,0,0.000,0.000,0.015,83.9,0.03,0.00,0.011,15.44,0.042,0.435,0,0.854,2.091,18.270,15.610,38.194
13,brooch_Dux,205,0.062,0.037,366,0.000,77,0.074,91.0,0.15,0.16,0.025,6.85,0.119,1.502,59,0.842,2.080,18.601,15.670,38.699
14,brooch_Dux,2888,0.068,0.043,430,0.270,0.000,0.042,84.2,1.09,0.00,0.006,13.78,0.026,0.031,0,0.857,2.104,18.221,15.613,38.332
15,brooch_Dux,0.000,0.082,0.027,270,0.000,71,0.067,86.1,0.06,0.44,0.00,13.18,0.021,0.011,0,0.851,2.093,18.342,15.613,38.382
