Region,Region2,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204,reference,Outlier
E Alps,E Alps,0.76286,1.9506,20.697,15.78891342,40.3715682,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80003,2.0247,19.668,15.73499004,39.8217996,Pernicka et al 2016,FALSE
E Alps,E Alps,0.8096,2.0406,19.415,15.718384,39.618249,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80424,2.0342,19.558,15.72932592,39.7848836,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80788,2.0378,19.458,15.71972904,39.6515124,Pernicka et al 2016,FALSE
E Alps,E Alps,0.79758,2.0172,19.73,15.7362534,39.799356,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80836,2.0388,19.447,15.72017692,39.648543600000004,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80944,2.0406,19.427,15.72499088,39.6427362,Pernicka et al 2016,FALSE
E Alps,E Alps,0.78407,1.9894,20.101,15.76059107,39.9889294,Pernicka et al 2016,FALSE
E Alps,E Alps,0.82366,2.0396,19.031,15.67507346,38.8156276,Pernicka et al 2016,FALSE
E Alps,E Alps,0.76366,1.9462,20.678,15.79096148,40.2435236,Pernicka et al 2016,FALSE
E Alps,E Alps,0.79159,1.9968,19.894,15.74789146,39.7243392,Pernicka et al 2016,FALSE
E Alps,E Alps,0.78955,1.9926,19.944,15.7467852,39.7404144,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80943,2.0334,19.415,15.71508345,39.478461,Pernicka et al 2016,FALSE
E Alps,E Alps,0.83419,2.0468,18.766,15.65440954,38.4102488,Pernicka et al 2016,TRUE
E Alps,E Alps,0.7967,2.032,19.733,15.7212811,40.097456,Pernicka et al 2016,FALSE
E Alps,E Alps,0.69971,1.9006,22.697,15.88131787,43.1379182,Pernicka et al 2016,TRUE
E Alps,E Alps,0.79952,2.0249,19.678,15.73295456,39.8459822,Pernicka et al 2016,FALSE
E Alps,E Alps,0.79932,2.0259,19.678,15.72901896,39.8656602,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80662,2.0394,19.494,15.72425028,39.7560636,Pernicka et al 2016,FALSE
E Alps,E Alps,0.8001,2.0267,19.665,15.7339665,39.8550555,Pernicka et al 2016,FALSE
E Alps,E Alps,0.79152,2.0154,19.89,15.7433328,40.086306,Pernicka et al 2016,FALSE
E Alps,E Alps,0.78264,1.9938,20.137,15.76002168,40.1491506,Pernicka et al 2016,FALSE
E Alps,E Alps,0.7635,1.9429,20.671,15.7823085,40.1616859,Pernicka et al 2016,FALSE
E Alps,E Alps,0.73051,1.9067,21.683,15.83964833,41.3429761,Pernicka et al 2016,TRUE
E Alps,E Alps,0.77856,1.9862,20.249,15.76506144,40.2185638,Pernicka et al 2016,FALSE
E Alps,E Alps,0.79452,2.0082,19.802,15.73308504,39.7663764,Pernicka et al 2016,FALSE
E Alps,E Alps,0.76591,1.956,20.612,15.78693692,40.317072,Pernicka et al 2016,FALSE
E Alps,E Alps,0.78665,2.0027,20.036,15.7613194,40.1260972,Pernicka et al 2016,FALSE
E Alps,E Alps,0.75977,1.9447,20.785,15.79181945,40.4205895,Pernicka et al 2016,FALSE
E Alps,E Alps,0.7394,1.9264,21.403,15.8253782,41.2307392,Pernicka et al 2016,FALSE
E Alps,E Alps,0.78796,2.0194,20.016,15.77180736,40.4203104,Pernicka et al 2016,FALSE
E Alps,E Alps,0.8153,2.0564,19.268,15.7092004,39.6227152,Pernicka et al 2016,FALSE
E Alps,E Alps,0.81252,2.0536,19.345,15.7181994,39.726892,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80595,2.0443,19.507,15.72166665,39.8781601,Pernicka et al 2016,FALSE
E Alps,E Alps,0.82328,2.0672,19.057,15.68924696,39.3946304,Pernicka et al 2016,FALSE
E Alps,E Alps,0.81997,2.0753,19.152,15.70406544,39.7461456,Pernicka et al 2016,FALSE
E Alps,E Alps,0.82894,2.0726,18.918,15.68188692,39.2094468,Pernicka et al 2016,FALSE
E Alps,E Alps,0.81917,2.0468,19.174,15.70676558,39.2453432,Pernicka et al 2016,FALSE
E Alps,E Alps,0.72733,1.8825,21.771,15.83470143,40.9839075,Pernicka et al 2016,TRUE
E Alps,E Alps,0.76661,1.9549,20.584,15.77990024,40.2396616,Pernicka et al 2016,FALSE
E Alps,E Alps,0.77842,1.982,20.248,15.76144816,40.131536,Pernicka et al 2016,FALSE
E Alps,E Alps,0.82074,2.0718,19.125,15.6966525,39.623175,Pernicka et al 2016,FALSE
E Alps,E Alps,0.82271,2.0729,19.073,15.69154783,39.5364217,Pernicka et al 2016,FALSE
E Alps,E Alps,0.83261,2.0893,18.859,15.70219199,39.4021087,Pernicka et al 2016,FALSE
E Alps,E Alps,0.8371,2.0966,18.754,15.6989734,39.3196364,Pernicka et al 2016,FALSE
E Alps,E Alps,0.81326,2.0503,19.321,15.71299646,39.6138463,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80931,2.0478,19.428,15.72327468,39.7846584,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80563,2.0435,19.522,15.72750886,39.893207,Pernicka et al 2016,FALSE
E Alps,E Alps,0.79888,2.0357,19.691,15.73074608,40.0849687,Pernicka et al 2016,FALSE
E Alps,E Alps,0.82175,2.0637,19.097,15.69295975,39.4104789,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80523,2.0223,19.531,15.72694713,39.4975413,Pernicka et al 2016,FALSE
E Alps,E Alps,0.7961,2.0031,19.765,15.7349165,39.5912715,Pernicka et al 2016,FALSE
E Alps,E Alps,0.81741,2.0764,19.208,15.70081128,39.8834912,Pernicka et al 2016,FALSE
E Alps,E Alps,0.81256,2.0692,19.329,15.70597224,39.9955668,Pernicka et al 2016,FALSE
E Alps,E Alps,0.81928,2.0657,19.16,15.6974048,39.578812,Pernicka et al 2016,FALSE
E Alps,E Alps,0.82506,2.0727,19.01,15.6843906,39.402027,Pernicka et al 2016,FALSE
E Alps,E Alps,0.81526,2.059,19.254,15.69701604,39.643986,Pernicka et al 2016,FALSE
E Alps,E Alps,0.83376,2.0978,18.839,15.70720464,39.5204542,Pernicka et al 2016,FALSE
E Alps,E Alps,0.82934,2.0731,18.926,15.69608884,39.2354906,Pernicka et al 2016,FALSE
E Alps,E Alps,0.77276,2.0002,20.422,15.78130472,40.8480844,Pernicka et al 2016,FALSE
E Alps,E Alps,0.79974,2.0401,19.693,15.74927982,40.1756893,Pernicka et al 2016,FALSE
E Alps,E Alps,0.81755,2.0663,19.233,15.72393915,39.7411479,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80517,2.0484,19.546,15.73785282,40.0380264,Pernicka et al 2016,FALSE
E Alps,E Alps,0.84995,2.0926,18.43,15.6645785,38.566618,Pernicka et al 2016,FALSE
E Alps,E Alps,0.83608,2.0818,18.768,15.69154944,39.0712224,Pernicka et al 2016,FALSE
E Alps,E Alps,0.82343,2.0681,19.074,15.70610382,39.4469394,Pernicka et al 2016,FALSE
E Alps,E Alps,0.83905,2.0857,18.693,15.68436165,38.9879901,Pernicka et al 2016,FALSE
E Alps,E Alps,0.8404,2.0822,18.658,15.6801832,38.8496876,Pernicka et al 2016,FALSE
E Alps,E Alps,0.83268,2.0522,18.829,15.67853172,38.6408738,Pernicka et al 2016,FALSE
E Alps,E Alps,0.8288,2.0964,18.922,15.6825536,39.6680808,Pernicka et al 2016,FALSE
