"code","Li","Mg","Al","Mn","Fe","Co","Ni","Cu","Zn","As","Ag","Sn","Sb","Pb","Bi","an_tot"
"LA 7002","<100","<0.01","<0.01","<50","<0.10",89,0.10,91.4,0.06,0.18,0.020,7.03,0.090,1.05,195,97.23
"LA 487 (K12178, W361)","<100","<0.01","<0.01","<50",0.30,"<50",0.02,86.9,0.02,0.15,0.010,12.47,0.032,0.02,236,93.03
"LA 7029",449,0.09,"<0.01","<50","<0.10",271,0.82,86.1,0.29,0.18,0.049,10.93,0.206,1.19,290,94.72
"LA 576 (K12202)","<100","<0.01","<0.01","<50","<0.10",180,0.48,88.5,"<0.01",0.26,0.015,10.47,0.149,0.11,64,94.05
"LA 546 (K12168)","<100","<0.01","<0.01","<50","<0.10","<50",0.03,88.0,"<0.01",0.16,0.008,11.41,0.035,0.23,"<50",95.12
"LA 17-44/74","<100","<0.01","<0.01","<50","<0.10","<50",0.03,88.8,0.27,0.11,0.012,10.63,0.029,0.12,"<50",92.37
"LA 2922","<100",0.03,"<0.01","<50","<0.10",71,0.05,86.9,0.07,0.11,0.005,12.71,0.027,0.04,"<50",93.01
"LA 7024","<100","<0.01","<0.01","<50","<0.10",125,0.13,86.4,"<0.01",0.27,0.029,12.65,0.153,0.33,118,96.58
"LA 17-52/74","<100","<0.01","<0.01","<50","<0.10",108,0.10,91.3,0.03,0.15,0.019,6.64,0.089,1.64,284,101.73
"LA 7006",4533,0.31,0.02,248,1.22,"<50",0.02,84.8,2.11,0.17,0.011,10.73,0.063,0.03,"<50",98.23
"LA 12203","<100","<0.01","<0.01","<50","<0.10",231,0.05,82.8,"<0.01",0.21,0.042,14.99,0.114,1.77,"<50",102.72
"LA 519 (K12156)","<100","<0.01","<0.01","<50","<0.10","<50",0.01,83.9,0.03,"<0.10",0.011,15.44,0.042,0.44,"<50",98.58
"LA K12166",205,0.06,0.04,366,"<0.10",77,0.07,91.0,0.15,0.16,0.025,6.85,0.119,1.50,59,97.66
"LA 540 (K12223)",2888,0.07,0.04,430,0.27,"<50",0.04,84.2,1.09,"<0.10",0.006,13.78,0.026,0.03,"<50",101.61
"LA 12291","<100",0.08,0.03,270,"<0.10",71,0.07,86.1,0.06,0.44,"<0.005",13.18,0.021,0.01,"<50",98.91
"LA 17-50/74","<100","<0.01","<0.01","<50","<0.10",49,0.03,91.2,"<0.01",0.11,0.028,8.30,0.095,0.18,"<50",95.58
"LA 12185","<100","<0.01","<0.01","<50","<0.10","<50",0.01,86.1,0.01,"<0.10","<0.005",13.71,0.056,0.00,"<50",98.42
"LA 18-2/75A","<100","<0.01","<0.01","<50","<0.10","<50",0.02,87.7,"<0.01",0.20,0.009,11.79,0.028,0.20,"<50",98.03
"LA 18-2/75B","<100","<0.01","<0.01","<50","<0.10",169,0.04,89.9,0.03,0.16,0.024,9.57,0.026,0.19,"<50",96.28
"LA 18-2/75C","<100","<0.01","<0.01","<50","<0.10","<50",0.02,85.8,0.02,"<0.10",0.012,13.81,0.040,0.20,"<50",96.66
"LA 18-2/75D","<100","<0.01","<0.01","<50","<0.10","<50","<0.01",85.7,"<0.01","<0.10","<0.005",14.14,0.019,0.03,"<50",98.05
"LA 18-2/75E","<100","<0.01","<0.01","<50","<0.10","<50",0.11,92.1,"<0.01",0.25,0.033,5.76,0.075,1.68,"<50",92.98
"LA K12201","<100","<0.01","<0.01","<50","<0.10","<50",0.06,89.3,0.06,0.10,0.016,10.11,0.065,0.24,"<50",88.79
"LA 12199","<100",0.05,"<0.01","<50","<0.10","<50",0.02,89.7,0.06,"<0.10",0.010,9.94,0.075,0.04,"<50",98.05
"LA K12159","<100","<0.01","<0.01","<50","<0.10","<50",0.03,91.8,"<0.01","<0.10",0.009,7.96,0.033,0.03,"<50",97.62
"LA 12205","<100","<0.01","<0.01","<50","<0.10","<50",0.09,85.4,0.01,"<0.10",0.042,14.29,0.039,0.02,"<50",97.02
"LA 380/1","<100","<0.01","<0.01","<50","<0.10",186,0.02,84.8,"<0.01",0.16,0.013,14.84,0.011,0.12,"<50",94.63
"LA 380/2","<100",0.17,"<0.01","<50","<0.10",1092,0.06,85.4,0.51,0.54,0.037,12.94,0.056,0.13,"<50",94.85
"LA 380/3","<100","<0.01","<0.01","<50","<0.10",935,0.08,86.5,0.04,0.55,0.033,12.52,0.068,0.14,"<50",93.29
"LA 380/4","<100","<0.01","<0.01","<50","<0.10",192,0.02,84.6,0.01,0.16,0.013,15.04,0.012,0.12,"<50",94.62
