"site","code","Li","Mg","Al","Mn","Fe","Co","Ni","Cu","Zn","As","Ag","Sn","Sb","Pb","Bi","analytical total"
"Prosmyky","PRO_5-01","<100",0.02,0.02,55,0.77,284,0.36,84.91,0.03,0.21,0.031,12.82,0.102,0.56,102,95.32
"Prosmyky","PRO_5-02","<100",0.07,0.02,"<50",0.27,129,0.12,89.05,"<0.01",0.20,0.043,7.06,0.166,2.87,137,95.06
"Prosmyky","PRO_5-03","<100","<0.01",0.03,62,0.49,244,0.18,87.18,0.29,0.24,0.053,9.66,0.215,1.54,126,96.22
"Prosmyky","PRO_5-04","<100",0.14,0.07,52,0.24,169,0.21,84.77,0.07,0.25,0.066,11.79,0.194,2.10,226,96.88
"Prosmyky","PRO_5-05","<100",0.02,0.05,57,0.57,231,0.09,86.91,0.03,0.26,0.056,8.47,0.133,3.29,128,92.70
"Prosmyky","PRO_5-06","<100",0.07,"<0.01","<50",0.32,149,0.08,85.46,0.07,0.32,0.039,11.96,0.190,1.37,79,97.03
"Prosmyky","PRO_5-07","<100","<0.01","<0.01","<50",0.50,222,0.08,85.86,0.03,0.24,0.038,8.89,0.079,4.14,138,98.05
"Prosmyky","PRO_5-08","<100","<0.01","<0.01","<50",0.85,212,0.18,86.75,0.45,0.35,0.032,7.59,0.232,3.46,133,96.30
"Prosmyky","PRO_5-09","<100",0.04,0.08,"<50",0.15,207,0.24,82.49,0.03,0.59,0.041,10.84,0.698,4.72,128,95.87
"Prosmyky","PRO_5-10","<100","<0.01",0.02,51,0.22,207,0.23,84.97,0.01,0.52,0.056,9.01,0.647,4.18,126,91.41
"Prosmyky","PRO_119-01","<100","<0.01",0.36,"<50",0.52,146,0.08,84.85,0.03,0.25,0.041,13.02,0.115,0.71,88,101.73
"Prosmyky","PRO_119-02","<100",0.02,0.02,"<50",0.60,"<50",0.02,85.57,0.02,"<0.10","<0.005",13.58,0.031,0.05,"<50",102.06
"Prosmyky","PRO_119-03","<100","<0.01","<0.01","<50",0.63,"<50",0.02,84.76,0.01,"<0.10",0.007,14.43,0.022,0.01,"<50",96.43
"Prosmyky","PRO_119-04","<100","<0.01","<0.01","<50",0.45,"<50",0.05,92.71,0.05,0.14,0.025,5.79,0.048,0.72,"<50",93.02
"Prosmyky","PRO_119-05","<100","<0.01","<0.01","<50",1.07,"<50",0.02,86.65,"<0.01","<0.10",0.006,12.12,0.023,0.03,"<50",97.39
"Prosmyky","PRO_119-06","<100",0.03,0.03,"<50",0.53,306,0.06,87.69,0.02,0.17,0.039,10.91,0.066,0.40,"<50",94.31
"Prosmyky","PRO_119-07","<100","<0.01",0.05,"<50",0.60,"<50",0.04,87.20,0.14,0.12,0.037,11.36,0.075,0.37,"<50",98.68
"Prosmyky","PRO_119-08","<100",0.02,"<0.01","<50",0.21,169,0.15,91.98,"<0.01",0.25,0.036,5.26,0.201,1.85,204,96.82
"Prosmyky","PRO_119-09","<100",0.04,0.04,"<50",0.44,234,0.09,86.74,0.03,0.21,0.040,10.20,0.087,2.02,234,92.68
"Prosmyky","PRO_119-10","<100",0.05,"<0.01","<50",0.15,262,0.07,80.94,0.08,0.30,0.033,7.01,0.147,11.16,122,96.70
"Prosmyky","PRO_119-11","<100",0.01,0.01,"<50",0.37,250,0.14,86.69,0.01,0.38,0.031,8.85,0.272,3.16,171,96.93
"Prosmyky","PRO_119-12","<100","<0.01",0.03,"<50",0.30,135,0.02,87.81,0.04,"<0.10",0.016,11.69,0.008,0.03,"<50",89.20
"Prosmyky","PRO_187-01","<100","<0.01","<0.01","<50",0.44,204,0.12,87.04,0.07,0.25,0.064,11.09,0.159,0.74,"<50",88.99
"Prosmyky","PRO_187-02","<100","<0.01","<0.01","<50",0.55,88,0.05,88.56,0.13,0.11,0.009,10.51,0.018,0.05,"<50",94.31
"Prosmyky","PRO_187-03","<100","<0.01","<0.01","<50",0.45,71,0.07,87.69,0.15,0.12,0.040,8.01,0.088,3.36,"<50",92.33
"Prosmyky","PRO_187-04","<100",0.03,"<0.01","<50",0.43,87,0.05,88.10,0.11,0.12,0.035,10.26,0.087,0.75,"<50",96.18
"Prosmyky","PRO_187-05","<100",0.05,"<0.01","<50",0.21,74,0.05,88.40,0.06,0.12,0.037,10.20,0.086,0.78,"<50",88.87
"Prosmyky","PRO_203-01","<100",0.09,"<0.01","<50",0.88,429,0.22,86.84,0.05,0.21,0.031,9.77,0.151,1.70,"<50",90.04
