"Site","Sample","Context/Grave","Dating","Sr87_86","DeltaSr87_86","Reference"
"Prosmyky","M1",103,"LT B2",0.710450,0.000221,"this work"
"Prosmyky","M3",103,"LT B2",0.710229,,"this work"
"Prosmyky","M1",110,"LT",0.708907,0.000047,"this work"
"Prosmyky","M2",110,"LT",0.708861,,"this work"
"Prosmyky","M1",112,"LT B1",0.709204,0.000047,"this work"
"Prosmyky","M3",112,"LT B1",0.709157,,"this work"
"Prosmyky","M1",125,"LT B2",0.709659,-0.000003,"this work"
"Prosmyky","M3",125,"LT B2",0.709662,,"this work"
"Prosmyky","M1",161,"LT B2a",0.711700,0.001910,"this work"
"Prosmyky","M3",161,"LT B2a",0.709790,,"this work"
"Prosmyky","M1",191,"LT B2a",0.709333,-0.000652,"this work"
"Prosmyky","M3",191,"LT B2a",0.709985,,"this work"
"Prosmyky","M1",208,"LT B2a",0.708548,-0.000096,"this work"
"Prosmyky","M3",208,"LT B2a",0.708644,,"this work"
"Prosmyky","M1",238,"LT B1",0.708413,-0.000602,"this work"
"Prosmyky","M3",238,"LT B1",0.709015,,"this work"
"Prosmyky","M1",252,"LT",0.708901,-0.000648,"this work"
"Prosmyky","M3",252,"LT",0.709549,,"this work"
"Prosmyky","M1",263,"LT B2",0.709564,-0.001833,"this work"
"Prosmyky","M3",263,"LT B2",0.711397,,"this work"
"Prosmyky","M1",59,"LT B2b",0.708733,-0.000269,"this work"
"Prosmyky","M3",59,"LT B2b",0.709002,,"this work"
"Prosmyky","M1",6,"LT B2",0.709165,-0.003821,"this work"
"Prosmyky","M2",6,"LT B2",0.712985,,"this work"
"Prosmyky","M2",60,"LT",0.709736,0.000117,"this work"
"Prosmyky","M3",60,"LT",0.709619,,"this work"
"Prosmyky","M1",7,"LT B1",0.710256,0.000242,"this work"
"Prosmyky","M3",7,"LT B1",0.710014,,"this work"
"Prosmyky","M1",73,"LT B2",0.707894,-0.000581,"this work"
"Prosmyky","M3",73,"LT B2",0.708475,,"this work"
"Prosmyky","M1",74,"LT B2",0.709247,-0.000162,"this work"
"Prosmyky","M3",74,"LT B2",0.709408,,"this work"
"Prosmyky","M1",79,"LT B2b",0.708315,-0.000528,"this work"
"Prosmyky","M3",79,"LT B2b",0.708843,,"this work"
"Prosmyky","M1",82,"LT B2a",0.709746,0.001137,"this work"
"Prosmyky","M3",82,"LT B2a",0.708609,,"this work"
"Radovesice I","ref. Table 1",1,"LT","ref. Table 1",0.002323,"Scheeres et al. 2014"
"Radovesice I","ref. Table 1",2,"LT","ref. Table 1",-0.003445,"Scheeres et al. 2014"
"Radovesice I","ref. Table 1",3,"LT B1","ref. Table 1",-0.002143,"Scheeres et al. 2014"
"Radovesice I","ref. Table 1",11,"LT B1","ref. Table 1",-0.002292,"Scheeres et al. 2014"
"Radovesice I","ref. Table 1",13,"LT B2b","ref. Table 1",-0.001270,"Scheeres et al. 2014"
"Radovesice I","ref. Table 1",14,"LT B1","ref. Table 1",0.003510,"Scheeres et al. 2014"
"Radovesice I","ref. Table 1",16,"LT B1","ref. Table 1",-0.002263,"Scheeres et al. 2014"
"Radovesice I","ref. Table 1",21,"LT B2a","ref. Table 1",0.002257,"Scheeres et al. 2014"
"Radovesice I","ref. Table 1",22,"LT B1","ref. Table 1",-0.000656,"Scheeres et al. 2014"
"Radovesice I","ref. Table 1",24,"LT B2a ","ref. Table 1",-0.000243,"Scheeres et al. 2014"
